date,player_name,team,opponent,position,stat,edge,grade,bucket,is_valid,is_combo,total_points,total_conditions,pass_rate,hitrate,hitrate_source,season_avg,games_played,ud_line,ud_over_odds,ud_under_odds,adaptive_multiplier,n_zone_conditions,n_playtype_conditions,details
2026-05-01,Amen Thompson,HOU,LAL,PF,assists,under,B,watchlist,False,False,1,1,0.917,0.468,nba_api_gamelog,5.3,79,5.5,-112,-112,0.9171,0,0,
2026-05-01,Cade Cunningham,DET,ORL,PF,assists,under,A+,valid,True,False,1,1,0.907,0.578,nba_api_gamelog,9.9,64,9.5,+104,-127,0.9071,0,0,
2026-05-01,James Harden,CLE,TOR,PF,assists,under,A,valid,True,False,1,1,0.907,0.514,nba_api_gamelog,8.0,70,6.5,-134,+109,0.9071,0,0,
2026-05-01,Paolo Banchero,ORL,DET,SG,reb+ast,under,B,watchlist_combo,False,True,2,2,0.989,0.472,combo_average,13.6,72,14.5,+102,-125,0.9886,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-01,Luka Dončić,LAL,HOU,SG,reb+ast,under,B,watchlist_combo,False,True,2,2,0.989,0.453,combo_average,16.0,64,,,,0.9886,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-01,Amen Thompson,HOU,LAL,SG,reb+ast,under,A,valid_combo,True,True,2,2,0.984,0.5,combo_average,13.1,79,12.5,-136,+110,0.9836,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-01,James Harden,CLE,TOR,SG,reb+ast,under,A,valid_combo,True,True,2,2,0.979,0.528,combo_average,12.8,70,11.5,-118,-105,0.9786,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-02,Tyrese Maxey,PHI,BOS,SG,points,under,D,other,False,False,0,0,0.0,0.457,nba_api_gamelog,28.3,70,24.5,-102,-121,0.99,0,0,
2026-05-02,Jaylen Brown,BOS,PHI,SG,points,over,D,other,False,False,0,0,0.0,0.563,nba_api_gamelog,28.7,71,25.5,-105,-118,0.98,0,0,
2026-05-02,Jaylen Brown,BOS,PHI,SG,assists,over,B,watchlist,False,False,1,1,0.917,0.366,nba_api_gamelog,5.1,71,3.5,-154,+123,0.9171,0,0,
2026-05-02,Tyrese Maxey,PHI,BOS,SF,assists,under,A,valid,True,False,1,1,0.907,0.529,nba_api_gamelog,6.6,70,6.5,+103,-125,0.9071,0,0,
2026-05-02,Tyrese Maxey,PHI,BOS,PF,rebounds,under,B,watchlist,False,False,1,1,1.0,0.357,nba_api_gamelog,4.1,70,3.5,-148,+120,1.06,0,0,
2026-05-02,Jaylen Brown,BOS,PHI,PF,rebounds,over,A+,valid,True,False,1,1,1.0,0.563,nba_api_gamelog,6.9,71,6.5,+114,-139,1.05,0,0,
2026-05-02,Tyrese Maxey,PHI,BOS,PF,reb+ast,under,B,watchlist_combo,False,True,2,2,0.984,0.443,combo_average,10.7,70,10.5,+103,-127,0.9836,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-02,Jaylen Brown,BOS,PHI,PF,reb+ast,over,B,watchlist_combo,False,True,2,2,0.984,0.464,combo_average,12.0,71,10.5,+110,-136,0.9836,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-03,Paolo Banchero,ORL,DET,SG,rebounds,under,B,watchlist,False,False,1,1,1.0,0.486,nba_api_gamelog,8.4,72,8.5,-112,-112,1.06,0,0,
2026-05-03,Paolo Banchero,ORL,DET,SG,assists,under,B,watchlist,False,False,1,1,0.917,0.458,nba_api_gamelog,5.2,72,5.5,+107,-132,0.9171,0,0,
2026-05-03,Paolo Banchero,ORL,DET,SG,points,under,D,other,False,False,0,0,0.0,0.528,nba_api_gamelog,22.2,72,20.5,-286,+224,0.98,0,0,
2026-05-03,Cade Cunningham,DET,ORL,SG,points,under,D,other,False,False,0,0,0.0,0.562,nba_api_gamelog,23.9,64,26.5,-197,+162,0.98,0,0,
2026-05-03,James Harden,CLE,TOR,SG,rebounds,under,A,valid,True,False,1,1,1.0,0.543,nba_api_gamelog,4.8,70,4.5,-109,-113,1.05,0,0,
2026-05-03,Scottie Barnes,TOR,CLE,SF,rebounds,under,B,watchlist,False,False,1,1,1.0,0.45,nba_api_gamelog,7.5,80,7.5,+119,-145,1.06,0,0,
2026-05-03,Cade Cunningham,DET,ORL,SF,rebounds,over,B,watchlist,False,False,1,1,1.0,0.469,nba_api_gamelog,5.5,64,6.5,+107,-134,1.06,0,0,
2026-05-03,James Harden,CLE,TOR,SF,points,under,D,other,False,False,0,0,0.0,0.4,nba_api_gamelog,23.6,70,19.5,-107,-114,0.99,0,0,
2026-05-03,Scottie Barnes,TOR,CLE,PF,points,over,D,other,False,False,0,0,0.0,0.375,nba_api_gamelog,18.1,80,21.5,-120,-103,0.99,0,0,
2026-05-03,Scottie Barnes,TOR,CLE,PF,assists,over,A,valid,True,False,1,1,0.907,0.5,nba_api_gamelog,5.9,80,8.5,+108,-132,0.9071,0,0,
2026-05-03,Cade Cunningham,DET,ORL,PF,assists,under,A+,valid,True,False,1,1,0.907,0.578,nba_api_gamelog,9.9,64,8.5,-117,-106,0.9071,0,0,
2026-05-03,James Harden,CLE,TOR,PF,assists,under,A,valid,True,False,1,1,0.907,0.514,nba_api_gamelog,8.0,70,6.5,-139,+114,0.9071,0,0,
2026-05-03,Paolo Banchero,ORL,DET,SG,reb+ast,under,B,watchlist_combo,False,True,2,2,0.989,0.472,combo_average,13.6,72,13.5,-132,+107,0.9886,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-03,James Harden,CLE,TOR,SG,reb+ast,under,A,valid_combo,True,True,2,2,0.979,0.528,combo_average,12.8,70,11.5,-112,-110,0.9786,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-08,De'Aaron Fox,SAS,MIN,SG,points,under,D,other,False,False,0,0,0.0,0.458,nba_api_gamelog,18.6,72,17.5,+103,-127,0.99,0,0,
2026-05-08,De'Aaron Fox,SAS,MIN,SG,assists,under,B,watchlist,False,False,1,1,0.917,0.417,nba_api_gamelog,6.2,72,5.5,-112,-112,0.9171,0,0,
2026-05-08,Jalen Brunson,NYK,PHI,SG,points,over,D,other,False,False,0,0,0.0,0.514,nba_api_gamelog,26.0,74,26.5,-103,-120,0.98,0,0,
